醫事機構代碼,醫事機構名稱,醫事機構電話,醫事機構地址,經度,緯度
0291010010,連江縣立醫院,(083)623995,連江縣南竿鄉復興村２１７號,119.9492,26.16084
2331200010,新北市坪林區衛生所,(02)26656272,新北市坪林區坪林街１０４號,121.7095,24.93592
2331240014,新北市平溪區衛生所,(02)24951015,新北市平溪區公園街１７號１樓,121.7365,25.02469
2331260016,新北市貢寮區衛生所,(02)24901431,新北市貢寮區朝陽街７０巷１０號、新北市貢寮區仁愛路１２８號,121.9095,25.02258
2331290014,新北市烏來區衛生所,(02)26617200,新北市烏來區新烏路５段１０９號,121.548,24.87197
2333070010,新竹縣橫山鄉衛生所,(03)5932004,新竹縣橫山鄉大肚村３鄰新興街１４１巷１０號,121.1393,24.71756
2333120015,新竹縣峨眉鄉衛生所,(03)5800314,新竹縣峨眉鄉峨眉村峨眉街２鄰５號,121.0214,24.68842
2333140017,新竹縣五峰鄉衛生所,(03)5851005,新竹縣五峰鄉大隘村六鄰９９號,121.1194,24.63184
2334110013,宜蘭縣大同鄉衛生所,(03)9801175,宜蘭縣大同鄉崙埤村朝陽４０號,121.6088,24.67785
2335110017,苗栗縣南庄鄉衛生所,(037)822024,苗栗縣南庄鄉東村大同路１７號,121,24.59733
2335150011,苗栗縣造橋鄉衛生所,(037)542755,苗栗縣造橋鄉造橋村１４鄰８－２號,120.8643,24.63672
2335170013,苗栗縣獅潭鄉衛生所,(037)931309,苗栗縣獅潭鄉新店村１３０之６號,120.9201,24.53961
2335180019,苗栗縣泰安鄉衛生所,(037)941054,苗栗縣泰安鄉清安村２鄰７２號,120.9083,24.44722
2336210034,臺中市和平區梨山衛生所,(04)25989540,臺中市和平區中正路１２號１樓、６８號１樓,121.2592,24.25678
2338070010,南投縣鹿谷鄉衛生所,(049)2752002,南投縣鹿谷鄉中正路二段２０號,120.7542,23.74488
2338120015,南投縣信義鄉衛生所,(049)2791148,南投縣信義鄉明德村玉山路４５號,120.8547,23.69653
2340170016,嘉義縣大埔鄉衛生所,(05)2521214,嘉義縣大埔鄉大埔村５３－１號,120.5928,23.29397
2341250013,臺南市南化區衛生所,(06)5771139,臺南市南化區南化里２２６－１號,120.4793,23.0444
2341300018,臺南市龍崎區衛生所,(06)5941397,臺南市龍崎區崎頂里新市子１５８號,120.3618,22.96521
2342130010,高雄市田寮區衛生所,(07)6361504,高雄市田寮區南安里崗北路３２號,120.3594,22.87301
2342180010,高雄市永安區衛生所,(07)6912015,高雄市永安區永安路２６號,120.2254,22.81879
2342250017,高雄市茂林區衛生所,(07)6801046,高雄市茂林區茂林里茂林巷８－４號,120.6641,22.88641
2342260013,高雄市桃源區衛生所,(07)6861126,高雄市桃源區桃源里南進巷１８８－１號,120.7642,23.15845
2342270019,高雄市那瑪夏區衛生所,(07)6701142,高雄市那瑪夏區瑪雅里６鄰平和巷２５２號,120.7024,23.24708
2343240015,屏東縣滿州鄉衛生所,(08)8801279,屏東縣滿州鄉滿州村中山路３１號,120.8381,22.01898
2343260017,屏東縣三地門鄉衛生所,(08)7991284,屏東縣三地門鄉三地村行政街４號,120.653,22.71477
2343270013,屏東縣霧台鄉衛生所,(08)7902232,屏東縣霧台鄉霧台村神山巷６８號,120.7261,22.74989
2343280019,屏東縣瑪家鄉衛生所,(08)7991164,屏東縣瑪家鄉北葉村風景巷８６號,120.6496,22.70801
2343290015,屏東縣泰武鄉衛生所,(08)7832059,屏東縣泰武鄉佳平村１７９號,120.6327,22.59212
2343300016,屏東縣來義鄉衛生所,(08)7850103,屏東縣來義鄉古樓村中正路９０號,120.632,22.52584
2343320018,屏東縣獅子鄉衛生所,(08)8771324,屏東縣獅子鄉楓林村楓林二巷３１號,120.7057,22.18402
2343330014,屏東縣牡丹鄉衛生所,(08)8831013,屏東縣牡丹鄉石門村１９號,120.7469,22.10105
2344011036,澎湖縣馬公市第三衛生所,(06)9211723,澎湖縣馬公市西文里１１８之２號,119.5836,23.56813
2344030013,澎湖縣白沙鄉衛生所,(06)9931044,澎湖縣白沙鄉赤崁村３５９號,119.5982,23.66669
2344030022,澎湖縣白沙鄉鳥嶼衛生所,(06)9916092,澎湖縣白沙鄉鳥嶼村漁港新村３號,119.6599,23.66008
2344030031,澎湖縣白沙鄉吉貝衛生所,(06)9911430,澎湖縣白沙鄉吉貝村８－１３號,119.6138,23.74056
2344050015,澎湖縣望安鄉衛生所,(06)9991036,澎湖縣望安鄉西安村３６－７號,119.4972,23.36161
2344050024,澎湖縣望安鄉將軍衛生所,(06)9902066,澎湖縣望安鄉將軍村１２鄰將軍澳１之３號,119.5216,23.3615
2344060011,澎湖縣七美鄉衛生所,(06)9971005,澎湖縣七美鄉中和村埔內５４號,119.431,23.2041
2345080017,花蓮縣豐濱鄉衛生所,(03)8791156,花蓮縣豐濱鄉豐濱村光豐路３９號,121.5215,23.60195
2345100014,花蓮縣富里鄉衛生所,(03)8831029,花蓮縣富里鄉富里村中山路２０３號,121.2491,23.17847
2345110010,花蓮縣秀林鄉衛生所,(03)8612122,花蓮縣秀林鄉秀林村１２鄰秀林路８８號,121.6334,24.1269
2345120016,花蓮縣萬榮鄉衛生所,(03)8751651,花蓮縣萬榮鄉萬榮村１鄰１６號,121.4092,23.71558
2345130012,花蓮縣卓溪鄉衛生所,(03)8882592,花蓮縣卓溪鄉卓溪村中正路６５號,121.3033,23.33294
